TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
,"₹1,50,00,000",8,25
,"₹4,45,00,000",8,25
,"₹4,45,00,000",8,25
,"₹1,65,00,000",8,22
,"₹3,55,00,000",8,25
,"₹5,00,000",8,24
,"₹12,20,00,000",7,22
,"₹3,35,00,000",8,25
,"₹1,75,00,000",8,25
,"₹6,55,00,000",8,25
